HDAC4,MAPK3
MAPK1,HDAC4
HDAC4,MAPK1
HDAC3,NCOR2
TBL1X,NCOR2
GPS2,NCOR2
TBL1XR1,NCOR2
NCOR2,HDAC3
NCOR2,TBL1X
NCOR2,GPS2
NCOR2,TBL1XR1
AP3B1,AP3D1
AP3B1,AP3M2
AP3B1,AP3S2
AP3B1,AP3B2
AP3B1,AP3S1
AP3B1,AP3M1
AP3D1,AP3B1
AP3D1,AP3M2
AP3D1,AP3S2
AP3D1,AP3B2
AP3D1,AP3S1
AP3D1,AP3M1
AP3M2,AP3B1
AP3M2,AP3D1
AP3M2,AP3S2
AP3M2,AP3B2
AP3M2,AP3S1
AP3M2,AP3M1
AP3S2,AP3B1
AP3S2,AP3D1
AP3S2,AP3M2
AP3S2,AP3B2
AP3S2,AP3S1
AP3S2,AP3M1
AP3B2,AP3B1
AP3B2,AP3D1
AP3B2,AP3M2
AP3B2,AP3S2
AP3B2,AP3S1
AP3B2,AP3M1
AP3S1,AP3B1
AP3S1,AP3D1
AP3S1,AP3M2
AP3S1,AP3S2
AP3S1,AP3B2
AP3S1,AP3M1
AP3M1,AP3B1
AP3M1,AP3D1
AP3M1,AP3M2
AP3M1,AP3S2
AP3M1,AP3B2
AP3M1,AP3S1
MTA2,MBD3
MTA2,RBBP4
MTA2,HDAC1
MTA2,CHD4
MTA2,RBBP7
MTA2,HDAC2
MBD3,MTA2
MBD3,RBBP4
MBD3,HDAC1
MBD3,CHD4
MBD3,RBBP7
MBD3,HDAC2
RBBP4,MTA2
RBBP4,MBD3
RBBP4,HDAC1
RBBP4,CHD4
RBBP4,RBBP7
RBBP4,HDAC2
HDAC1,MTA2
HDAC1,MBD3
HDAC1,RBBP4
HDAC1,CHD4
HDAC1,RBBP7
HDAC1,HDAC2
CHD4,MTA2
CHD4,MBD3
CHD4,RBBP4
CHD4,HDAC1
CHD4,RBBP7
CHD4,HDAC2
RBBP7,MTA2
RBBP7,MBD3
RBBP7,RBBP4
RBBP7,HDAC1
RBBP7,CHD4
RBBP7,HDAC2
HDAC2,MTA2
HDAC2,MBD3
HDAC2,RBBP4
HDAC2,HDAC1
HDAC2,CHD4
HDAC2,RBBP7
MTA2,MBD2
MBD3,MBD2
RBBP4,MBD2
HDAC1,MBD2
CHD4,MBD2
RBBP7,MBD2
HDAC2,MBD2
MBD2,MTA2
MBD2,MBD3
MBD2,RBBP4
MBD2,HDAC1
MBD2,CHD4
MBD2,RBBP7
MBD2,HDAC2
MED14,MED24
MED14,THRA
MED14,MED1
MED14,MED12
MED14,MED17
MED14,THRAP3
MED14,MED16
MED24,MED14
MED24,THRA
MED24,MED1
MED24,MED12
MED24,MED17
MED24,THRAP3
MED24,MED16
THRA,MED14
THRA,MED24
THRA,MED1
THRA,MED12
THRA,MED17
THRA,THRAP3
THRA,MED16
MED1,MED14
MED1,MED24
MED1,THRA
MED1,MED12
MED1,MED17
MED1,THRAP3
MED1,MED16
MED12,MED14
MED12,MED24
MED12,THRA
MED12,MED1
MED12,MED17
MED12,THRAP3
MED12,MED16
MED17,MED14
MED17,MED24
MED17,THRA
MED17,MED1
MED17,MED12
MED17,THRAP3
MED17,MED16
THRAP3,MED14
THRAP3,MED24
THRAP3,THRA
THRAP3,MED1
THRAP3,MED12
THRAP3,MED17
THRAP3,MED16
MED16,MED14
MED16,MED24
MED16,THRA
MED16,MED1
MED16,MED12
MED16,MED17
MED16,THRAP3
AP4M1,AP4E1
AP4M1,AP4S1
AP4M1,AP4B1
AP4E1,AP4M1
AP4E1,AP4S1
AP4E1,AP4B1
AP4S1,AP4M1
AP4S1,AP4E1
AP4S1,AP4B1
AP4B1,AP4M1
AP4B1,AP4E1
AP4B1,AP4S1
RAD51B,RAD51C
RAD51B,XRCC2
RAD51B,RAD51D
RAD51C,RAD51B
RAD51C,XRCC2
RAD51C,RAD51D
XRCC2,RAD51B
XRCC2,RAD51C
XRCC2,RAD51D
RAD51D,RAD51B
RAD51D,RAD51C
RAD51D,XRCC2
MRE11,RAD50
RAD50,MRE11
TRPC1,ITPR3
TRPC1,HOMER3
ITPR3,TRPC1
ITPR3,HOMER3
HOMER3,TRPC1
HOMER3,ITPR3
RBX1,SKP1
RBX1,CUL7
RBX1,FBXW8
SKP1,RBX1
SKP1,CUL7
SKP1,FBXW8
CUL7,RBX1
CUL7,SKP1
CUL7,FBXW8
FBXW8,RBX1
FBXW8,SKP1
FBXW8,CUL7
ARID1A,SMARCA4
ARID1A,ACTB
ARID1A,SMARCB1
ARID1A,CARM1
ARID1A,SMARCC2
ARID1A,SMARCC1
ARID1A,SMARCE1
ARID1A,SMARCD1
ARID1A,SCYL1
SMARCA4,ARID1A
SMARCA4,ACTB
SMARCA4,SMARCB1
SMARCA4,CARM1
SMARCA4,SMARCC2
SMARCA4,SMARCC1
SMARCA4,SMARCE1
SMARCA4,SMARCD1
SMARCA4,SCYL1
ACTB,ARID1A
ACTB,SMARCA4
ACTB,SMARCB1
ACTB,CARM1
ACTB,SMARCC2
ACTB,SMARCC1
ACTB,SMARCE1
ACTB,SMARCD1
ACTB,SCYL1
SMARCB1,ARID1A
SMARCB1,SMARCA4
SMARCB1,ACTB
SMARCB1,CARM1
SMARCB1,SMARCC2
SMARCB1,SMARCC1
SMARCB1,SMARCE1
SMARCB1,SMARCD1
SMARCB1,SCYL1
CARM1,ARID1A
CARM1,SMARCA4
CARM1,ACTB
CARM1,SMARCB1
